Unit,Question,Answer
VISUAL 4 - UNIT 1,"""What is the name of this country?""","""This country is Poland."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from Poland."""
VISUAL 4 - UNIT 1,"""What color is the Polish flag?""","""The Polish flag is red and white."""
VISUAL 4 - UNIT 1,"""Where are they from?""","""They are from Poland."""
VISUAL 4 - UNIT 1,"""Where are these clothes from?""","""These clothes are from Poland."""
VISUAL 4 - UNIT 1,"""Where is this food from?""","""This food is from Poland."""
VISUAL 4 - UNIT 1,"""Where is this chocolate from?""","""This chocolate is from Poland."""
VISUAL 4 - UNIT 1,"""Where is this building from?""","""This building is from Poland."""
VISUAL 4 - UNIT 1,"""Where is this stamp from?""","""This stamp is from Poland."""
VISUAL 4 - UNIT 1,"""What is his nationality?""","""His nationality is Polish."""
VISUAL 4 - UNIT 1,"""What language does she speak?""","""She speaks Polish."""
VISUAL 4 - UNIT 1,"""Where is this passport from?""","""This passport is from Poland."""
VISUAL 4 - UNIT 1,"""What is your favourite Polish food?""","""My favourite Polish food is [insert food]."""
VISUAL 4 - UNIT 1,"""What countries are in Britain?""","""The countries in Britain are England, Scotland, and Wales."""
VISUAL 4 - UNIT 1,"""What countries are in the UK?""","""The countries in the UK are England, Scotland, Wales, and Northern Ireland."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from Britain."""
VISUAL 4 - UNIT 1,"""What is his nationality?""","""His nationality is British."""
VISUAL 4 - UNIT 1,"""Where is he from?""","""He is from Britain."""
VISUAL 4 - UNIT 1,"""Where are they from?""","""They are from Britain."""
VISUAL 4 - UNIT 1,"""Who is the British leader now?""","""The British leader now is King Charles."""
VISUAL 4 - UNIT 1,"""What language does she speak?""","""She speaks English."""
VISUAL 4 - UNIT 1,"""Where is this passport from?""","""This passport is from Britain."""
VISUAL 4 - UNIT 1,"""Where is this food from?""","""This food is from Britain."""
VISUAL 4 - UNIT 1,"""Where is this plane from?""","""This plane is from Britain."""
VISUAL 4 - UNIT 1,"""Where is this money from?""","""This money is from the UK."""
VISUAL 4 - UNIT 1,"""Where is this army from?""","""This army is from the UK."""
VISUAL 4 - UNIT 1,"""What is the nationality of Britain?""","""The nationality of Britain is British."""
VISUAL 4 - UNIT 1,"""What country is in pink?""","""The country in pink is Northern Ireland."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from Northern Ireland."""
VISUAL 4 - UNIT 1,"""What is the capital of Northern Ireland?""","""The capital of Northern Ireland is Belfast."""
VISUAL 4 - UNIT 1,"""What is his nationality?""","""His nationality is Northern Irish."""
VISUAL 4 - UNIT 1,"""Where are they from?""","""They are from Northern Ireland."""
VISUAL 4 - UNIT 1,"""What religion is common in Northern Ireland?""","""The common religions in Northern Ireland are Protestantism and Catholicism."""
VISUAL 4 - UNIT 1,"""What is the name of this country?""","""This country is Scotland."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from Scotland."""
VISUAL 4 - UNIT 1,"""Where is the Loch Ness Monster from?""","""The Loch Ness Monster is from Scotland."""
VISUAL 4 - UNIT 1,"""What type of food is this?""","""This is Scottish food."""
VISUAL 4 - UNIT 1,"""Where is this horse from?""","""This horse is from Scotland."""
VISUAL 4 - UNIT 1,"""Where is this army from?""","""This army is from Scotland."""
VISUAL 4 - UNIT 1,"""Where are they from?""","""They are from Scotland."""
VISUAL 4 - UNIT 1,"""What type of music is he playing?""","""He is playing Scottish music."""
