unit,type,title,provider,embedUrl,fileUrl,lessonType,lessonObjective,pdfUrl
1,video,Greetings Dialogue,YouTube,https://www.youtube.com/embed/MdEnuU6_idg,,,,
1,video,Introducing Yourself,YouTube,https://www.youtube.com/embed/NlpxjBgG93E,,,,
1,game,Greetings and Introductions,Wordwall,https://wordwall.net/resource/43120/english/greetings,,,,
1,pdf,Unit 1: Hello and Greetings - PDF,Visual English,,,,,https://visualenglishmaterial.s3.eu-north-1.amazonaws.com/book2/unit1/00 A Visual English 2 – Unit 1 – New Version.pdf
1,lesson,Introducing Yourself Lesson Plan,Visual English,,,main,Learn to introduce yourself in English,
2,video,Numbers Song 1-20,YouTube,https://www.youtube.com/embed/e0dJWfQHF8Y,,,,
2,game,Numbers 1-20 Game,Wordwall,https://wordwall.net/resource/32814/english/numbers-1-20,,,,
2,pdf,Unit 2: Numbers - PDF,Visual English,,,,,https://visualenglishmaterial.s3.eu-north-1.amazonaws.com/book2/unit2/00 A Visual English 2 – Unit 2 – New Version.pdf
2,lesson,Numbers 1-20 Lesson Plan,Visual English,,,main,Learn to count from 1 to 20,
3,video,Telling the Time,YouTube,https://www.youtube.com/embed/IBBQXBhSNUs,,,,
3,game,Clock Time Game,Wordwall,https://wordwall.net/resource/32975/english/telling-time,,,,
3,pdf,Unit 3: What's the Time? - PDF,Visual English,,,,,https://visualenglishmaterial.s3.eu-north-1.amazonaws.com/book2/unit3/00 A Visual English 2 – Unit 3 – New Version.pdf
3,lesson,Telling Time Lesson Plan,Visual English,,,main,Learn to tell the time in English,
4,video,Days of the Week Song,YouTube,https://www.youtube.com/embed/mXMofxtDPUQ,,,,
4,game,Days of the Week Game,Wordwall,https://wordwall.net/resource/46518/english/days-week,,,,
4,pdf,Unit 4: Days of the Week - PDF,Visual English,,,,,https://visualenglishmaterial.s3.eu-north-1.amazonaws.com/book2/unit4/00 A Visual English 2 – Unit 4 – New Version.pdf
4,lesson,Days of the Week Lesson Plan,Visual English,,,main,Learn the days of the week,
5,video,Weather Song,YouTube,https://www.youtube.com/embed/XcW9Ct000yY,,,,
5,game,Weather Vocabulary Game,Wordwall,https://wordwall.net/resource/10404323/weather,,,,
5,pdf,Unit 5: The Weather - PDF,Visual English,,,,,https://visualenglishmaterial.s3.eu-north-1.amazonaws.com/book2/unit5/00 A Visual English 2 – Unit 5 – New Version.pdf
5,lesson,Weather Vocabulary Lesson Plan,Visual English,,,main,Learn vocabulary related to weather,
